,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Regulus regulus,Regulus regulus,Goudhaan,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Remiz pendulinus,Remiz pendulinus,Buidelmees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Riparia riparia,Riparia riparia,Oeverzwaluw,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Saxicola rubetra,Saxicola rubetra,Paapje,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Saxicola rubicola,Saxicola rubicola,Roodborsttapuit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Serinus serinus,Serinus serinus,Europese kanarie ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Sitta europaea,Sitta europaea,Boomklever ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Spinus spinus,Spinus spinus,Sijs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Sterna hirundo,Sterna hirundo,Visdief,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Streptopelia decaocto,Streptopelia decaocto,Turkse tortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Streptopelia turtur,Streptopelia turtur,Zomertortel,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Strix aluco,Strix aluco,Bosuil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Sturnus vulgaris,Sturnus vulgaris,Spreeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Sylvia atricapilla,Sylvia atricapilla,Zwartkop,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Sylvia borin,Sylvia borin,Tuinfluiter,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Sylvia communis,Sylvia communis,Grasmus,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Sylvia curruca,Sylvia curruca,Braamsluiper ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Tachybaptus ruficollis,Tachybaptus ruficollis,Dodaars,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Tadorna tadorna,Tadorna tadorna,Bergeend,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Tringa erythropus,Tringa erythropus,Zwarte ruiter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Tringa glareola,Tringa glareola,Bosruiter ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Tringa nebularia,Tringa nebularia,Groenpootruiter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Tringa ochropus,Tringa ochropus,Witgatje,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Tringa stagnatilis,Tringa stagnatilis,Poelruiter ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Tringa totanus,Tringa totanus,Tureluur,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Troglodytes troglodytes,Troglodytes troglodytes,Winterkoning,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Turdus iliacus,Turdus iliacus,Koperwiek,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Turdus merula,Turdus merula,Merel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Turdus philomelos,Turdus philomelos,Zanglijster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Turdus pilaris,Turdus pilaris,Kramsvogel,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Turdus viscivorus,Turdus viscivorus,Grote lijster ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Tyto alba,Tyto alba,Kerkuil,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Vanellus vanellus,Vanellus vanellus,Kievit,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Bufo bufo,Bufo bufo,Gewone pad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Herpetofauna
Epidalea calamita,Epidalea calamita,Rugstreeppad,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Herpetofauna
Hyla arborea,Hyla arborea,Boomkikker,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,Herpetofauna
Lissotriton vulgaris,Lissotriton vulgaris,Kleine watersalamander,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Herpetofauna
Natrix natrix,Natrix natrix,Ringslang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Herpetofauna
Pelobates fuscus,Pelobates fuscus,Knoflookpad,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,Herpetofauna
Pelophylax lessonae,Pelophylax lessonae,Poelkikker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Herpetofauna
Rana arvalis,Rana arvalis,Heikikker,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Herpetofauna
Pelophylax ridibundus,Pelophylax ridibundus,Meerkikker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Herpetofauna
Rana temporaria,Rana temporaria,Bruine kikker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Herpetofauna
Pelophylax kl. esculentus,Pelophylax kl. esculentus,Bastaardkikker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Herpetofauna
Triturus cristatus,Triturus cristatus,Kamsalamander,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Herpetofauna
Abramis brama,Abramis brama,Brasem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Acipenser sturio,Acipenser sturio,Steur,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,Fish
Alburnoides bipunctatus,Alburnoides bipunctatus,Gestippelde alver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Fish
Alburnus alburnus,Alburnus alburnus,Alver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Alosa alosa,Alosa alosa,Elft,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fish
Alosa fallax,Alosa fallax,Fint,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Fish
Anguilla anguilla,Anguilla anguilla,Paling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Barbatula barbatula,Barbatula barbatula,Bermpje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Barbus barbus,Barbus barbus,Barbeel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Blicca bjoerkna,Blicca bjoerkna,Kolblei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Carassius carassius,Carassius carassius,Kroeskarper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Chelon labrosus,Chelon labrosus,Diklipharder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Chondrostoma nasus,Chondrostoma nasus,Sneep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Cobitis taenia,Cobitis taenia,Kleine modderkruiper,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Fish
Coregonus oxyrinchus,Coregonus oxyrinchus,Houting,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Fish
Cottus perifretum,Cottus perifretum,Rivierdonderpad,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Fish
Esox lucius,Esox lucius,Snoek ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Gasterosteus aculeatus,Gasterosteus aculeatus,Driedoornige stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Gobio gobio,Gobio gobio,Riviergrondel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Gymnocephalus cernuus,Gymnocephalus cernuus,Pos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Lampetra fluviatilis,Lampetra fluviatilis,Rivierprik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Fish
Leucaspius delineatus,Leucaspius delineatus,Vetje,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Leuciscus idus,Leuciscus idus,Winde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Leuciscus leuciscus,Leuciscus leuciscus,Serpeling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Liza ramada,Liza ramada,Dunlipharder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Lota lota,Lota lota,Kwabaal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Misgurnus fossilis,Misgurnus fossilis,Grote modderkruiper,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Fish
Osmerus eperlanus,Osmerus eperlanus,Spiering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Perca fluviatilis,Perca fluviatilis,Baars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Petromyzon marinus,Petromyzon marinus,Zeeprik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fish
Platichthys flesus,Platichthys flesus,Bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Rhodeus amarus,Rhodeus amarus,Bittervoorn,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Fish
Rutilus rutilus,Rutilus rutilus,Blankvoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Salmo salar,Salmo salar,Zalm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fish
Salmo trutta trutta,Salmo trutta trutta,Zeeforel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Scardinius erythrophthalmus,Scardinius erythrophthalmus,Ruisvoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Silurus glanis,Silurus glanis,Europese meerval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Squalius cephalus,Squalius cephalus,Kopvoorn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Thymallus thymallus,Thymallus thymallus,Vlagzalm,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Fish
Tinca tinca,Tinca tinca,Zeelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fish
Aglais io,Aglais io,Dagpauwoog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Aglais urticae,Aglais urticae,Kleine vos ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Anthocharis cardamines,Anthocharis cardamines,Oranjetipje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Apatura ilia,Apatura ilia,Kleine weerschijnvlinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Apatura iris,Apatura iris,Grote weerschijnvlinder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Aphantopus hyperantus,Aphantopus hyperantus,Koevinkje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Araschnia levana,Araschnia levana,Landkaartje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Argynnis paphia,Argynnis paphia,Keizersmantel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Butterflies
Aricia agestis,Aricia agestis,Bruin blauwtje,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Boloria euphrosyne,Boloria euphrosyne,Zilvervlek ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Celastrina argiolus,Celastrina argiolus,Boomblauwtje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Coenonympha pamphilus,Coenonympha pamphilus,Hooibeestje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Colias croceus,Colias croceus,Oranje luzernevlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Colias hyale,Colias hyale,Gele luzernevlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Cupido minimus,Cupido minimus,Dwergblauwtje,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Butterflies
Favonius quercus,Favonius quercus,Eikenpage ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Gonepteryx rhamni,Gonepteryx rhamni,Citroenvlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Issoria lathonia,Issoria lathonia,Kleine parelmoervlinder,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Lasiommata megera,Lasiommata megera,Argusvlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Leptidea sinapis,Leptidea sinapis,Boswitje ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Lycaena phlaeas,Lycaena phlaeas,Kleine vuurvlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Maniola jurtina,Maniola jurtina,Bruin zandoogje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Melitaea cinxia,Melitaea cinxia,Veldparelmoervlinder,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Butterflies
Nymphalis antiopa,Nymphalis antiopa,Rouwmantel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Butterflies
Nymphalis polychloros,Nymphalis polychloros,Grote vos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Ochlodes sylvanus,Ochlodes sylvanus,Groot dikkopje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Papilio machaon,Papilio machaon,Koninginnepage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Pararge aegeria,Pararge aegeria,Bont zandoogje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Phengaris nausithous,Phengaris nausithous,Donker pimpernelblauwtje,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,Butterflies
Phengaris teleius,Phengaris teleius,Pimpernelblauwtje,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,Butterflies
Pieris brassicae,Pieris brassicae,Groot koolwitje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Pieris napi,Pieris napi,Klein geaderd witje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Pieris rapae,Pieris rapae,Klein koolwitje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Polygonia c-album,Polygonia c-album,Gehakkelde aurelia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Polyommatus coridon,Polyommatus coridon,Bleek blauwtje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Polyommatus icarus,Polyommatus icarus,Icarusblauwtje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Pyronia tithonus,Pyronia tithonus,Oranje zandoogje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Thecla betulae,Thecla betulae,Sleedoornpage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Thymelicus lineola,Thymelicus lineola,Zwartsprietdikkopje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Thymelicus sylvestris,Thymelicus sylvestris,Geelsprietdikkopje ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Vanessa atalanta,Vanessa atalanta,Atalanta ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Vanessa cardui,Vanessa cardui,Distelvlinder ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butterflies
Aeshna affinis,Aeshna affinis,Zuidelijke glazenmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Aeshna cyanea,Aeshna cyanea,Blauwe glazenmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Aeshna grandis,Aeshna grandis,Bruine glazenmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Aeshna isoceles,Aeshna isoceles,Vroege glazenmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Aeshna mixta,Aeshna mixta,Paardenbijter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Aeshna viridis,Aeshna viridis,Groene glazenmaker,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,DragonDamselflies
Anax imperator,Anax imperator,Grote keizerlibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Anax parthenope,Anax parthenope,Zuidelijke keizerlibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Brachytron pratense,Brachytron pratense,Glassnijder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Calopteryx splendens,Calopteryx splendens,Weidebeekjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Chalcolestes viridis,Chalcolestes viridis,Houtpantserjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Coenagrion lunulatum,Coenagrion lunulatum,Maanwaterjuffer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Coenagrion puella,Coenagrion puella,Azuurwaterjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Coenagrion pulchellum,Coenagrion pulchellum,Variabele waterjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Cordulia aenea,Cordulia aenea,Smaragdlibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Crocothemis erythraea,Crocothemis erythraea,Vuurlibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Enallagma cyathigerum,Enallagma cyathigerum,Watersnuffel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Erythromma lindenii,Erythromma lindenii,Kanaaljuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Erythromma najas,Erythromma najas,Grote roodoogjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Erythromma viridulum,Erythromma viridulum,Kleine roodoogjuffer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Gomphus flavipes,Gomphus flavipes,Rivierrombout,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,DragonDamselflies
Gomphus pulchellus,Gomphus pulchellus,Plasrombout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Gomphus vulgatissimus,Gomphus vulgatissimus,Beekrombout,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Ischnura elegans,Ischnura elegans,Lantaarntje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Ischnura pumilio,Ischnura pumilio,Tengere grasjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Lestes barbarus,Lestes barbarus,Zwervende pantserjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Lestes dryas,Lestes dryas,Tangpantserjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Lestes sponsa,Lestes sponsa,Gewone pantserjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Lestes virens,Lestes virens,Tengere pantserjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Leucorrhinia caudalis,Leucorrhinia caudalis,Sierlijke witsnuitlibel,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,DragonDamselflies
Libellula depressa,Libellula depressa,Platbuik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Libellula fulva,Libellula fulva,Bruine korenbout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Libellula quadrimaculata,Libellula quadrimaculata,Viervlek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Onychogomphus forcipatus,Onychogomphus forcipatus,Kleine tanglibel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Ophiogomphus cecilia,Ophiogomphus cecilia,Gaffellibel,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,DragonDamselflies
Orthetrum cancellatum,Orthetrum cancellatum,Gewone oeverlibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Oxygastra curtisii,Oxygastra curtisii,Bronslibel,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,DragonDamselflies
Platycnemis pennipes,Platycnemis pennipes,Blauwe breedscheenjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Pyrrhosoma nymphula,Pyrrhosoma nymphula,Vuurjuffer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Somatochlora metallica,Somatochlora metallica,Metaalglanslibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympecma fusca,Sympecma fusca,Bruine winterjuffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum danae,Sympetrum danae,Zwarte heidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum flaveolum,Sympetrum flaveolum,Geelvlekheidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum fonscolombii,Sympetrum fonscolombii,Zwervende heidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum pedemontanum,Sympetrum pedemontanum,Bandheidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum sanguineum,Sympetrum sanguineum,Bloedrode heidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum striolatum,Sympetrum striolatum,Bruinrode heidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Sympetrum vulgatum,Sympetrum vulgatum,Steenrode heidelibel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DragonDamselflies
Acer negundo,Acer negundo,Vederesdoorn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Achillea millefolium,Achillea millefolium,Duizendblad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Acorus calamus,Acorus calamus,Kalmoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Adonis vernalis,Adonis vernalis,Voorjaarsadonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Adoxa moschatellina,Adoxa moschatellina,Muskuskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Agrimonia eupatoria,Agrimonia eupatoria,Gewone agrimonie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Agrimonia procera,Agrimonia procera,Welriekende agrimonie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Agrostemma githago,Agrostemma githago,Bolderik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Ajuga reptans,Ajuga reptans,Kruipend zenegroen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alchemilla glabra,Alchemilla glabra,Kale vrouwenmantel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alisma plantago-aquatica,Alisma plantago-aquatica,Grote waterweegbree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alliaria petiolata,Alliaria petiolata,Look-zonder-look,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Allium oleraceum,Allium oleraceum,Moeslook,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Allium schoenoprasum,Allium schoenoprasum,Bieslook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Allium scorodoprasum,Allium scorodoprasum,Slangenlook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Allium ursinum,Allium ursinum,Daslook,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Alnus glutinosa,Alnus glutinosa,Zwarte els,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alnus incana,Alnus incana,Witte els,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alopecurus geniculatus,Alopecurus geniculatus,Geknikte vossenstaart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alopecurus pratensis,Alopecurus pratensis,Grote vossenstaart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Althaea officinalis,Althaea officinalis,Heemst,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Alyssum alyssoides,Alyssum alyssoides,Bleek schildzaad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Amaranthus blitoides,Amaranthus blitoides,Nerfamarant ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Amaranthus blitum,Amaranthus blitum,Kleine majer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anacamptis pyramidalis,Anacamptis pyramidalis,Hondskruid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HigherPlants
Anagallis arvensis subsp. foemina,Anagallis arvensis subsp. foemina,Blauw guichelheil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anagallis tenella,Anagallis tenella,Teer guichelheil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anchusa officinalis,Anchusa officinalis,Gewone Ossentong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Andromeda polifolia,Andromeda polifolia,Lavendelhei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anemone nemorosa,Anemone nemorosa,Bosanemoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Angelica sylvestris,Angelica sylvestris,Engelwortel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthemis arvensis,Anthemis arvensis,Valse kamille,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
Anthemis cotula,Anthemis cotula,Stinkende kamille,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HigherPlants
