,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Acrocephalus scirpaceus,Acrocephalus scirpaceus,Kleine karekiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Actitis hypoleucos,Actitis hypoleucos,Oeverloper,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Birds
Aegithalos caudatus,Aegithalos caudatus,Staartmees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Alauda arvensis,Alauda arvensis,Veldleeuwerik,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Alcedo atthis,Alcedo atthis,Ijsvogel,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Birds
Anas acuta,Anas acuta,Pijlstaart,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anas clypeata,Anas clypeata,Slobeend,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anas crecca,Anas crecca,Wintertaling,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anas penelope,Anas penelope,Smient,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anas platyrhynchos,Anas platyrhynchos,Wilde eend,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Anas querquedula,Anas querquedula,Zomertaling,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Anas strepera,Anas strepera,Krakeend,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anser albifrons,Anser albifrons,Kolgans,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anser anser,Anser anser,Grauwe gans,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Anser fabalis,Anser fabalis,Taigarietgans,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Birds
Anser serrirostris,Anser serrirostris,Toendrarietgans,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
